population,white%,black%,hispanic%,25/3%,100/20%,fiber%,geoid
4040.0,0.5737623762376237,0.23242574257425744,0.12821782178217822,1.0,1.0,0.273543633433111,37001020100
4137.0,0.29683345419386026,0.2948996857626299,0.3497703649987914,1.0,1.0,0.018984547461368698,37001020200
6556.0,0.19051250762660157,0.5061012812690665,0.2544234289200732,1.0,1.0,0.6346182690865461,37001020400
3965.0,0.6544766708701135,0.15561160151324085,0.1301387137452711,1.0,1.0,0.564238745574102,37001020501
4299.0,0.26541056059548734,0.4042800651314259,0.27936729471970223,1.0,1.0,0.56907659269864,37001020502
3170.0,0.8678233438485804,0.033123028391167195,0.05457413249211356,1.0,1.0,0.839074125103334,37001020601
2509.0,0.7413312076524512,0.10920685532084495,0.09127142287764049,1.0,1.0,0.372360133382734,37001020602
5018.0,0.6470705460342766,0.1739736946990833,0.10143483459545635,1.0,1.0,0.46046416101869,37001020701
5063.0,0.48390282441240373,0.3144380801896109,0.1289749160576733,1.0,1.0,0.591222200354261,37001020702
1930.0,0.5398963730569948,0.21658031088082902,0.17357512953367876,1.0,1.0,0.66508875739645,37001020801
3887.0,0.6809879084126575,0.11396964239773605,0.14561358374067404,1.0,1.0,0.268971104509857,37001020902
3984.0,0.49849397590361444,0.2816265060240964,0.1478413654618474,1.0,1.0,0.122574385510996,37001021101
3587.0,0.6225257875662114,0.2157792026763312,0.09283523836074714,1.0,1.0,0.803248136315229,37001021102
6305.0,0.4099920697858842,0.2851704996034893,0.2548770816812054,1.0,1.0,0.576885083964439,37001021201
5217.0,0.6122292505271228,0.16082039486294805,0.15928694652098907,0.9950238853503189,0.9950238853503189,0.582205414012739,37001021204
7963.0,0.5452718824563607,0.27477081501946504,0.08074846163506216,0.9994259471871411,0.9994259471871411,0.134328358208955,37001021205
5382.0,0.5810107766629505,0.23411371237458195,0.11166852471200298,1.0,1.0,0.054291083733556095,37001021206
3498.0,0.7212692967409948,0.1292166952544311,0.08719268153230417,1.0,1.0,0.0929899856938484,37001021207
6178.0,0.6102298478471997,0.25768857235351245,0.07413402395597281,0.9198299868093209,0.9198299868093209,0.00762128096145391,37001021300
2668.0,0.8665667166416792,0.047976011994003,0.05172413793103448,0.85667107001321,0.85667107001321,0.151915455746367,37001021400
4576.0,0.8629807692307693,0.06271853146853147,0.03518356643356643,0.986468458166571,0.986468458166571,0.0,37001021500
8913.0,0.7570963760798833,0.11264445192415573,0.0670930102098059,1.0,1.0,0.152122330609017,37001021600
5897.0,0.8019331863659488,0.08173647617432593,0.04731219264032559,1.0,1.0,0.421489061397318,37001021702
7974.0,0.6212691246551292,0.17858038625532982,0.08665663406069726,0.998970840480274,0.998970840480274,0.488164665523156,37001021703
4706.0,0.8614534636634085,0.05291117722056948,0.04483637909052274,0.927222659323367,0.9262391817466561,0.483280881195909,37001021801
3618.0,0.8758982863460475,0.02570480928689884,0.05583195135433942,0.995325953259533,0.993357933579336,0.21820418204182002,37001021802
3042.0,0.8685075608152532,0.03944773175542406,0.04766600920447074,0.891120815138282,0.891120815138282,0.422416302765648,37001021803
4630.0,0.8257019438444925,0.06004319654427646,0.06457883369330454,0.9948364888123921,0.9948364888123921,0.14362210747752902,37001021901
4424.0,0.7391500904159132,0.06555153707052441,0.13811030741410488,0.9759404239068169,0.9759404239068169,0.170135573801795,37001021902
3759.0,0.7619047619047619,0.08858739026336791,0.08858739026336791,1.0,1.0,0.19364238410596,37001022001
4717.0,0.6885732457070172,0.09221963112147552,0.14627941488234047,1.0,0.9975160422272821,0.0633409232043055,37001022002
3877.0,0.9148826412174361,0.025793139025019344,0.024503482073768377,0.9403973509933771,0.506990434142752,0.0245278390973755,37003040200
6503.0,0.7836383207750269,0.09841611563893587,0.06566200215285253,1.0,0.988850384209733,0.0,37003040400
6560.0,0.8123475609756098,0.04496951219512195,0.09603658536585366,0.983273766976412,0.878341672623302,0.0,37003040500
6320.0,0.8015822784810127,0.10284810126582279,0.03860759493670886,1.0,0.991338582677165,0.0,37003040600
4058.0,0.8435189748644653,0.009857072449482503,0.11828486939379004,0.99487929773226,0.9773226042428681,0.8853938063886859,37005950100
3762.0,0.7892078681552366,0.015151515151515152,0.1634768740031898,1.0,1.0,1.0,37005950200
