per_access,county_name,county_code,date
0.033707865168539325,Halifax County,83.0,2020-07
0.029411764705882353,Halifax County,83.0,2021-01
0.0,Halifax County,83.0,2022-01
0.0,Harnett County,85.0,2022-01
0.02564102564102564,Harnett County,85.0,2021-01
0.029318036966220522,Harnett County,85.0,2020-07
0.011363636363636364,Haywood County,87.0,2020-06
0.026981450252951095,Haywood County,87.0,2021-01
0.03404255319148936,Haywood County,87.0,2022-01
0.019101123595505618,Henderson County,89.0,2020-07
0.024657534246575342,Henderson County,89.0,2021-01
0.02413793103448276,Henderson County,89.0,2022-01
0.0,Hertford County,91.0,2022-01
0.05343511450381679,Hertford County,91.0,2021-01
0.0,Hertford County,91.0,2020-07
0.0,Hoke County,93.0,2020-07
0.024390243902439025,Hoke County,93.0,2021-01
0.125,Hoke County,93.0,2022-01
0.0,Hyde County,95.0,2020-07
0.0,Hyde County,95.0,2021-02
0.0,Hyde County,95.0,2022-02
0.125,Iredell County,97.0,2021-01
0.10526315789473684,Iredell County,97.0,2022-01
0.043583535108958835,Iredell County,97.0,2020-07
0.010131712259371834,Jackson County,99.0,2021-01
0.0218408736349454,Jackson County,99.0,2022-01
0.006765899864682003,Jackson County,99.0,2020-07
0.05103042198233562,Johnston County,101.0,2020-05
0.07352941176470588,Johnston County,101.0,2021-01
0.045454545454545456,Johnston County,101.0,2022-01
0.0,Jones County,103.0,2020-07
0.041666666666666664,Jones County,103.0,2021-04
0.0,Jones County,103.0,2022-02
0.10294117647058823,Lee County,105.0,2022-01
0.05660377358490566,Lee County,105.0,2021-01
0.05042016806722689,Lee County,105.0,2020-05
0.06091370558375635,Lenoir County,107.0,2020-07
0.061224489795918366,Lenoir County,107.0,2021-01
0.0,Lenoir County,107.0,2022-01
0.030927835051546393,Lincoln County,109.0,2020-07
0.13261648745519714,Lincoln County,109.0,2021-01
0.0,Lincoln County,109.0,2022-01
0.028037383177570093,McDowell County,111.0,2022-01
0.014760147601476014,McDowell County,111.0,2021-01
0.008968609865470852,McDowell County,111.0,2020-06
0.011764705882352941,Macon County,113.0,2020-07
0.004267425320056899,Macon County,113.0,2021-01
0.016853932584269662,Macon County,113.0,2022-01
0.04046242774566474,Madison County,115.0,2020-07
0.025052192066805846,Madison County,115.0,2021-01
0.05102040816326531,Madison County,115.0,2022-01
0.0,Martin County,117.0,2022-01
0.046511627906976744,Martin County,117.0,2021-01
0.017543859649122806,Martin County,117.0,2020-07
0.16987179487179488,Mecklenburg County,119.0,2020-06
0.2793103448275862,Mecklenburg County,119.0,2021-01
0.11666666666666667,Mecklenburg County,119.0,2022-01
0.01282051282051282,Mitchell County,121.0,2020-07
0.019823788546255508,Mitchell County,121.0,2021-01
0.0,Mitchell County,121.0,2022-01
0.015345268542199489,Montgomery County,123.0,2021-01
0.0,Montgomery County,123.0,2022-01
0.007462686567164179,Montgomery County,123.0,2020-07
0.020771513353115726,Moore County,125.0,2020-06
0.05446293494704992,Moore County,125.0,2021-01
0.0525195173882186,Moore County,125.0,2022-01
0.055900621118012424,Nash County,127.0,2020-07
